ISCO08,ISCO08-label-E,major,submajor,minor,unit
1000,'Managers',1000,1000,1000,1000
1100,"'Chief executives, senior officials and legislators'",1000,1100,1100,1100
1110,'Legislators and senior officials',1000,1100,1110,1110
1111,'Legislators',1000,1100,1110,1111
1112,'Senior government officials',1000,1100,1110,1112
1113,'Traditional chiefs and heads of villages',1000,1100,1110,1113
1114,'Senior officials of special-interest organizations',1000,1100,1110,1114
1120,'Managing directors and chief executives',1000,1100,1120,1120
1200,'Administrative and commercial managers',1000,1200,1200,1200
1210,'Business services and administration managers',1000,1200,1210,1210
1211,'Finance managers',1000,1200,1210,1211
1212,'Human resource managers',1000,1200,1210,1212
1213,'Policy and planning managers',1000,1200,1210,1213
1219,'Business services and administration managers not elsewhere classified',1000,1200,1210,1219
1220,"'Sales, marketing and development managers'",1000,1200,1220,1220
1221,'Sales and marketing managers',1000,1200,1220,1221
1222,'Advertising and public relations managers',1000,1200,1220,1222
1223,'Research and development managers',1000,1200,1220,1223
1300,'Production and specialized services managers',1000,1300,1300,1300
1310,"'Production managers in agriculture, forestry and fisheries'",1000,1300,1310,1310
1311,'Agricultural and forestry production managers',1000,1300,1310,1311
1312,'Aquaculture and fisheries production managers',1000,1300,1310,1312
1320,"'Manufacturing, mining, construction and distribution managers'",1000,1300,1320,1320
1321,'Manufacturing managers',1000,1300,1320,1321
1322,'Mining managers',1000,1300,1320,1322
1323,'Construction managers',1000,1300,1320,1323
1324,"'Supply, distribution and related managers'",1000,1300,1320,1324
1330,'Information and communications technology services managers',1000,1300,1330,1330
1340,'Professional services managers',1000,1300,1340,1340
1341,'Child care services managers',1000,1300,1340,1341
1342,'Health services managers',1000,1300,1340,1342
1343,'Aged care services managers',1000,1300,1340,1343
1344,'Social welfare managers',1000,1300,1340,1344
1345,'Education managers',1000,1300,1340,1345
1346,'Financial and insurance services branch managers',1000,1300,1340,1346
1349,'Professional services managers not elsewhere classified',1000,1300,1340,1349
1400,"'Hospitality, retail and other services managers'",1000,1400,1400,1400
1410,'Hotel and restaurant managers',1000,1400,1410,1410
1411,'Hotel managers',1000,1400,1410,1411
1412,'Restaurant managers',1000,1400,1410,1412
1420,'Retail and wholesale trade managers',1000,1400,1420,1420
1430,'Other services managers',1000,1400,1430,1430
1431,"'Sports, recreation and cultural centre managers'",1000,1400,1430,1431
1439,'Services managers not elsewhere classified',1000,1400,1430,1439
2000,'Professionals',2000,2000,2000,2000
2100,'Science and engineering professionals',2000,2100,2100,2100
2110,'Physical and earth science professionals',2000,2100,2110,2110
2111,'Physicists and astronomers',2000,2100,2110,2111
2112,'Meteorologists',2000,2100,2110,2112
2113,'Chemists',2000,2100,2110,2113
2114,'Geologists and geophysicists',2000,2100,2110,2114
2120,"'Mathematicians, actuaries and statisticians'",2000,2100,2120,2120
2130,'Life science professionals',2000,2100,2130,2130
2131,"'Biologists, botanists, zoologists and related professionals'",2000,2100,2130,2131
2132,"'Farming, forestry and fisheries advisers'",2000,2100,2130,2132
2133,'Environmental protection professionals',2000,2100,2130,2133
2140,'Engineering professionals (excluding electrotechnology)',2000,2100,2140,2140
2141,'Industrial and production engineers',2000,2100,2140,2141
2142,'Civil engineers',2000,2100,2140,2142
2143,'Environmental engineers',2000,2100,2140,2143
2144,'Mechanical engineers',2000,2100,2140,2144
2145,'Chemical engineers',2000,2100,2140,2145
2146,"'Mining engineers, metallurgists and related professionals'",2000,2100,2140,2146
2149,'Engineering professionals not elsewhere classified',2000,2100,2140,2149
2150,'Electrotechnology engineers',2000,2100,2150,2150
2151,'Electrical engineers',2000,2100,2150,2151
2152,'Electronics engineers',2000,2100,2150,2152
2153,'Telecommunications engineers',2000,2100,2150,2153
2160,"'Architects, planners, surveyors and designers'",2000,2100,2160,2160
2161,'Building architects',2000,2100,2160,2161
2162,'Landscape architects',2000,2100,2160,2162
2163,'Product and garment designers',2000,2100,2160,2163
2164,'Town and traffic planners',2000,2100,2160,2164
2165,'Cartographers and surveyors',2000,2100,2160,2165
2166,'Graphic and multimedia designers',2000,2100,2160,2166
2200,'Health professionals',2000,2200,2200,2200
2210,'Medical doctors',2000,2200,2210,2210
2211,'Generalist medical practitioners',2000,2200,2210,2211
2212,'Specialist medical practitioners',2000,2200,2210,2212
2220,'Nursing and midwifery professionals',2000,2200,2220,2220
2221,'Nursing professionals',2000,2200,2220,2221
2222,'Midwifery professionals',2000,2200,2220,2222
2230,'Traditional and complementary medicine professionals',2000,2200,2230,2230
2240,'Paramedical practitioners',2000,2200,2240,2240
2250,'Veterinarians',2000,2200,2250,2250
2260,'Other health professionals',2000,2200,2260,2260
2261,'Dentists',2000,2200,2260,2261
2262,'Pharmacists',2000,2200,2260,2262
2263,'Environmental and occupational health and hygiene professionals',2000,2200,2260,2263
2264,'Physiotherapists',2000,2200,2260,2264
2265,'Dieticians and nutritionists',2000,2200,2260,2265
2266,'Audiologists and speech therapists',2000,2200,2260,2266
2267,'Optometrists and ophthalmic opticians',2000,2200,2260,2267
2269,'Health professionals not elsewhere classified',2000,2200,2260,2269
2300,'Teaching professionals',2000,2300,2300,2300
2310,'University and higher education teachers',2000,2300,2310,2310
2320,'Vocational education teachers',2000,2300,2320,2320
2330,'Secondary education teachers',2000,2300,2330,2330
2340,'Primary school and early childhood teachers',2000,2300,2340,2340
2341,'Primary school teachers',2000,2300,2340,2341
2342,'Early childhood educators',2000,2300,2340,2342
2350,'Other teaching professionals',2000,2300,2350,2350
2351,'Education methods specialists',2000,2300,2350,2351
2352,'Special needs teachers',2000,2300,2350,2352
2353,'Other language teachers',2000,2300,2350,2353
2354,'Other music teachers',2000,2300,2350,2354
2355,'Other arts teachers',2000,2300,2350,2355
2356,'Information technology trainers',2000,2300,2350,2356
2359,'Teaching professionals not elsewhere classified',2000,2300,2350,2359
2400,'Business and administration professionals',2000,2400,2400,2400
2410,'Finance professionals',2000,2400,2410,2410
2411,'Accountants',2000,2400,2410,2411
2412,'Financial and investment advisers',2000,2400,2410,2412
2413,'Financial analysts',2000,2400,2410,2413
2420,'Administration professionals',2000,2400,2420,2420
2421,'Management and organization analysts',2000,2400,2420,2421
2422,'Policy administration professionals',2000,2400,2420,2422
2423,'Personnel and careers professionals',2000,2400,2420,2423
2424,'Training and staff development professionals',2000,2400,2420,2424
2430,"'Sales, marketing and public relations professionals'",2000,2400,2430,2430
2431,'Advertising and marketing professionals',2000,2400,2430,2431
2432,'Public relations professionals',2000,2400,2430,2432
2433,'Technical and medical sales professionals (excluding ict)',2000,2400,2430,2433
2434,'Information and communications technology sales professionals',2000,2400,2430,2434
2500,'Information and communications technology professionals',2000,2500,2500,2500
2510,'Software and applications developers and analysts',2000,2500,2510,2510
2511,'Systems analysts',2000,2500,2510,2511
2512,'Software developers',2000,2500,2510,2512
2513,'Web and multimedia developers',2000,2500,2510,2513
2514,'Applications programmers',2000,2500,2510,2514
2519,'Software and applications developers and analysts not elsewhere classified',2000,2500,2510,2519
2520,'Database and network professionals',2000,2500,2520,2520
2521,'Database designers and administrators',2000,2500,2520,2521
2522,'Systems administrators',2000,2500,2520,2522
2523,'Computer network professionals',2000,2500,2520,2523
2529,'Database and network professionals not elsewhere classified',2000,2500,2520,2529
2600,"'Legal, social and cultural professionals'",2000,2600,2600,2600
2610,'Legal professionals',2000,2600,2610,2610
2611,'Lawyers',2000,2600,2610,2611
2612,'Judges',2000,2600,2610,2612
2619,'Legal professionals not elsewhere classified',2000,2600,2610,2619
2620,"'Librarians, archivists and curators'",2000,2600,2620,2620
2621,'Archivists and curators',2000,2600,2620,2621
2622,'Librarians and related information professionals',2000,2600,2620,2622
